we_vote_id,ballot_item_display_name,contest_office_name,district_name,party_Conservative Party,party_Democrat,party_Independent,party_Independent Party,party_Libertarian Party,party_Nonpartisan,party_Others,party_Republican,party_Unaffiliated,party_Working Families Party,google_civic_election_id_1000336,google_civic_election_id_1000337,google_civic_election_id_1000338,google_civic_election_id_1000339,google_civic_election_id_1000340,google_civic_election_id_1000341,google_civic_election_id_1000342,google_civic_election_id_1000343,google_civic_election_id_1000344,google_civic_election_id_1000345,google_civic_election_id_1000346,google_civic_election_id_1000347,google_civic_election_id_1000348,google_civic_election_id_1000349,google_civic_election_id_1000351,google_civic_election_id_1000352,google_civic_election_id_1000354,google_civic_election_id_1000355,twitter_description,lon,lat
wv02cand60651,Tre Pennie,0.9306034327260955,0.056527590659119935,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07822787651427361,-99.9018,31.9686
wv02cand92859,Suzanne Harp,0.9306034327260955,0.056527590659119935,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26239662354687604,-99.9018,31.9686
wv87cand2302677,Asa Hutchinson,-0.029927010699043202,-0.00473503763454482,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26974579188400977,-77.009056,38.889805
wv87cand2302678,Nikki R Haley,-0.029927010699043202,-0.00473503763454482,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22075020787822747,-77.009056,38.889805
wv87cand2302679,Vivek Ramaswamy,-0.029927010699043202,-0.00473503763454482,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05386390390994345,-77.009056,38.889805
wv87cand2302680,Sherrod Brown,-0.014108449546201532,-0.0016622440188048507,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17631202312951255,-82.9071,40.4173
wv87cand2302682,Joe Biden,-0.029927010699043202,-0.00473503763454482,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22301223653655372,-77.009056,38.889805
wv87cand2302683,Donald Trump,-0.029927010699043202,-0.00473503763454482,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.30569561453914185,-77.009056,38.889805
wv87cand2302684,Ron Desantis,-0.029927010699043202,-0.00473503763454482,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3332794144127103,-77.009056,38.889805
wv87cand2302685,Matt Dolan,-0.014108449546201532,-0.0016622440188048507,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2544703578152484,-82.9071,40.4173
wv87cand2302687,Bernie Moreno,-0.014108449546201532,-0.0016622440188048507,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263507950528151,-82.9071,40.4173
wv87cand2302688,Brian Hopkins,0.9306034327260955,0.04377328543277678,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1900612049588184,-83.6487,32.1656
wv87cand2302689,Marcy Kaptur,0.9306034327260955,0.043747532797046566,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2982947064553292,-82.9071,40.4173
wv87cand2302690,Craig Riedel,0.9306034327260955,0.043747532797046566,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27766993924500316,-82.9071,40.4173
wv87cand2302691,Steve Lankenau,0.9306034327260955,0.043747532797046566,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18644734091840032,-82.9071,40.4173
wv87cand2302692,J.R. Majewski,0.9306034327260955,0.043747532797046566,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03990530321423304,-82.9071,40.4173
wv87cand2302693,Dan Wilczynski,0.9306034327260955,0.043747532797046566,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019878624777173153,-82.9071,40.4173
wv87cand2302694,Madison Gesiotto Gilbert,0.9306034327260955,0.04144093455506092,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03962545886428132,-82.9071,40.4173
wv87cand2302695,Greg Wheeler,0.9306034327260955,0.04144093455506092,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1514212413805707,-82.9071,40.4173
wv87cand2302696,Roshan Chandrakumar,0.9306034327260955,0.0509522048610293,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019878624777173153,-82.9071,40.4173
wv87cand2302697,William Farms,0.9306034327260955,0.04559524934301206,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.019878624777173153,-82.9071,40.4173
wv87cand2302698,Michael Corbin,0.9306034327260955,0.04327587383249447,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14715591507576253,-83.6487,32.1656
wv87cand2302699,Stephen Thomas,0.9306034327260955,0.04735500999760188,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12727916649222065,-82.9071,40.4173
wv87cand2302700,Sean Freeman,0.9306034327260955,0.042676883145881916,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009077767607525463,-82.9071,40.4173
